,arg1,arg2,relation
0,Michael Gnant,Михаэль Хойпль,KNOWS
1,history of religions school,Герман Гункель,KNOWS
2,Chrysler,Дитер Цетше,KNOWS
3,Reinhold Schittenhelm,"Ховен, Вальдемар",KNOWS
4,Grete Illy,"Кашниц, Мария Луиза",KNOWS
5,René Brouillet,Жорж Жан Раймон Помпиду,KNOWS
6,Tat'jana Apollovna Šucht,Антонио Грамши,KNOWS
7,Йоранссон Хансер Лина,Юсси Бьёрлинг,KNOWS
8,Giovanni Battista Prandina,Джузеппе Гарибальди,KNOWS
9,дадаизм,Тристан Тцара,KNOWS
10,Президентство Джо Байдена,Джо Байден,KNOWS
11,Джованни Боккаччо,Франческо Петрарка,KNOWS
12,Jia Zhi,Ду Фу,KNOWS
13,Rodier,Коко Шанель,KNOWS
14,Isabella Roser,Игнатий де Лойола,KNOWS
15,"Ментен, Питер","Шёнгарт, Карл Эберхард",KNOWS
16,Friedrich Ernst Jaekel,Франц Шлегельбергер,KNOWS
17,presidential transition of Richard Nixon,Линдон Джонсон,KNOWS
18,Движение за независимость Кореи,Ким Ир Сен,KNOWS
19,Lewanna Wilkins,Vernon Orlando Bailey,KNOWS
20,Clemens Jaeckel,"Хандлозер, Зигфрид",KNOWS
21,Оскар Шиндлер,Амон Гёт,KNOWS
22,first impeachment of Donald Trump,Дональд Трамп,KNOWS
23,Josef Hornef,Франц Шлегельбергер,KNOWS
24,Edgar Hermann,Вильгельм Байгльбёк,KNOWS
25,Theodor Hünermann,"Шрёдер, Оскар",KNOWS
26,Friedrich Schmidt,"Шрёдер, Оскар",KNOWS
27,Sentiero Ciclabile Adda (Milano-Lecco),Леонардо да Винчи,KNOWS
28,Kurt Voit,"Хандлозер, Зигфрид",KNOWS
29,John C. Eastman,Майк Пенс,KNOWS
30,Карл Габершток,Адольф Гитлер,KNOWS
31,Max Matthias,Франц Шлегельбергер,KNOWS
32,"Сокоу, Розита","Нуреев, Рудольф Хаметович",KNOWS
33,учение о сигнатурах,Гален,KNOWS
34,Hugh,Жан-Люк Пикар,KNOWS
35,Martin Liedl,"Мруговский, Иоахим",KNOWS
36,Карл Густав Юнг,Зигмунд Фрейд,KNOWS
37,Wolfgang Grosch,"Поль, Освальд",KNOWS
38,"Файман, Вернер",Михаэль Хойпль,KNOWS
39,Peter Westenthaler,Йорг Хайдер,KNOWS
40,Фигурное катание на зимних Олимпийских играх 2010 — одиночное катание (женщины),"Лурц, Дагмар",KNOWS
41,Super Bowl XXXVIII halftime show controversy,Джастин Тимберлейк,KNOWS
42,"Флинн, Майкл (военный)",Дональд Трамп,KNOWS
43,Josef Speckbacher,"Гофер, Андреас",KNOWS
44,"Хаазе, Вернер","Мруговский, Иоахим",KNOWS
45,1937 Tripoli Grand Prix,Hans Stuck,KNOWS
46,Lorette,"Матисс, Анри",KNOWS
47,Адам Шифф,Моби,KNOWS
48,Спок,Джеймс Тиберий Кирк,KNOWS
49,history of religions school,Johannes Weiss,KNOWS
50,Pieter van Aelst,Лев X,KNOWS
51,Альва Мюрдаль,Джавахарлал Неру,KNOWS
52,Рудольф Кирхшлегер,Бруно Крайский,KNOWS
53,Alexander Wiedow,Франц Шлегельбергер,KNOWS
54,Never was so much owed by so many to so few,Уинстон Черчилль,KNOWS
55,The Jolly Stompers,Майк Тайсон,KNOWS
56,Нильс Бор,Лиза Мейтнер,KNOWS
57,Helmut Reichel,"Шефер, Конрад",KNOWS
58,Konrad Lang,"Мруговский, Иоахим",KNOWS
59,Johannes Karl Joseph Kirchhof,"Мруговский, Иоахим",KNOWS
60,Albrecht Ziaja,"Хандлозер, Зигфрид",KNOWS
61,"Московиц, Дастин",Марк Цукерберг,KNOWS
62,Despedida,Христиан Моргенштерн,KNOWS
63,Филипп Меланхтон,Мартин Лютер,KNOWS
64,Committee for Justice for Domingo and Viernes,Фердинанд Маркос,KNOWS
65,Marie Pirner,"Шрёдер, Оскар",KNOWS
66,Германский Камерун,Густав Нахтигаль,KNOWS
67,Hans Wolter,"Хандлозер, Зигфрид",KNOWS
68,Janny Brandes-Brilleslijper,"Франк, Марго",KNOWS
69,Mary W. Stewart,Герберт Гувер,KNOWS
70,Gertrud Obermeier,Карл Франц Гебхардт,KNOWS
71,Fritz Flemming,"Мруговский, Иоахим",KNOWS
72,Bijou,Вальтер Скотт,KNOWS
73,"Клеен, Тира","Миллес, Карл",KNOWS
74,Брегалья,Леонардо да Винчи,KNOWS
75,Les Diableries,Брайан Мэй,KNOWS
76,Иоганн Георг Альбрехтсбергер,Йозеф Гайдн,KNOWS
77,"Ланц, Эрвин",Бруно Крайский,KNOWS
78,Вольфганг Вирт,Курт Бломе,KNOWS
79,Hellmuth Lauth,"Шефер, Конрад",KNOWS
80,Политический кризис в Тюрингии (2020),Кристиан Линднер,KNOWS
81,Erich Gritzbach,Герман Геринг,KNOWS
82,экономика,"Маршалл, Альфред",KNOWS
83,Раймон Арон,Жан-Поль Сартр,KNOWS
84,Британская Южно-Африканская компания,Сесил Джон Родс,KNOWS
85,Martin Zeller,Виктор Брак,KNOWS
86,Megan Powers,Дональд Трамп,KNOWS
